Codename,State,Username,Group,Host,MPI Tasks,Start Time,Wallclock Time,Stop Time,%comm,Total Memory,Total GFlops,Datasize,Processors,X,Y,Z,Iteration,Hostlist,Ranks
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:11:24 2023,127.208 s,Sun Nov 19 16:13:31 2023,75.25%,1.4 gbytes,0,128,8,2,2,2,run2,csews2,0-7
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:17:51 2023,127.539 s,Sun Nov 19 16:19:59 2023,75.25%,1.4 gbytes,0,128,8,2,2,2,run5,csews2,0-7
pfet,completed,spratham,group,csews32,8 on 1 hosts,Sun Nov 19 23:56:52 2023,1.941 s,Sun Nov 19 23:56:54 2023,45.13%,0.4 gbytes,0,64,8,2,2,2,run1,csews32,0-7
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:15:42 2023,127.686 s,Sun Nov 19 16:17:49 2023,75.24%,1.4 gbytes,0,128,8,2,2,2,run4,csews2,0-7
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:13:33 2023,127.178 s,Sun Nov 19 16:15:40 2023,75.26%,1.4 gbytes,0,128,8,2,2,2,run3,csews2,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:06 2023,43.591 s,Sun Nov 19 17:01:50 2023,79.05%,1.9 gbytes,0,128,16,2,2,4,run9,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:06 2023,43.591 s,Sun Nov 19 17:01:50 2023,79.05%,1.9 gbytes,0,128,16,2,2,4,run9,csews9,8-15
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,16,2,2,4,run10,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,16,2,2,4,run10,csews9,8-15
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 16:59:36 2023,43.019 s,Sun Nov 19 17:00:19 2023,79.09%,1.9 gbytes,0,128,16,2,2,4,run7,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 16:59:36 2023,43.019 s,Sun Nov 19 17:00:19 2023,79.09%,1.9 gbytes,0,128,16,2,2,4,run7,csews9,8-15
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 16:58:50 2023,44.105 s,Sun Nov 19 16:59:34 2023,79.49%,1.8 gbytes,0,128,16,2,2,4,run6,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 16:58:50 2023,44.105 s,Sun Nov 19 16:59:34 2023,79.49%,1.8 gbytes,0,128,16,2,2,4,run6,csews9,8-15
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:28:40 2023,127.026 s,Sun Nov 19 16:30:46 2023,75.23%,1.4 gbytes,0,128,16,2,2,4,run1,csews2,0-7
